id,created_at,provider_name,sku_provider,raw_title,price,currency,metadata,status,normalized_product_id
1163,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-2198,Magnum 22 1.5 Ton Frío - Calor 220v,16624.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/2198-magnum-22-15-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9426072,""internal_id"":""2198"",""category_original"":""Aire Acondicionado""}",processed,61abe365-b706-4726-902b-f504da4414b0
1164,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-2221,Magnum 22 2 Ton Frío 220v,20757.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/2221-magnum-22-2-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.9435902,""internal_id"":""2221"",""category_original"":""Aire Acondicionado""}",processed,dab6a816-bbb4-4cd5-9005-61088948c72e
1165,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1948,Magnum 22 2 Ton Frío - Calor 220v,22347.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1948-magnum-22-2-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9445517,""internal_id"":""1948"",""category_original"":""Aire Acondicionado""}",processed,7b7eb301-c3b4-4744-948d-05d696bce5c1
1166,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1949,NEX 1 Ton Frío 110v,5059.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1949-nex-1-ton-frio-110v.html"",""last_error"":null,""scraped_at"":1766775478.945588,""internal_id"":""1949"",""category_original"":""Aire Acondicionado""}",processed,526d4ffc-8129-49d3-b1f3-c2c739e8d07c
1167,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1950,NEX 1 Ton  Frío - Calor 110v,5820.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1950-nex-1-ton-frio-calor-110v.html"",""last_error"":null,""scraped_at"":1766775478.9465647,""internal_id"":""1950"",""category_original"":""Aire Acondicionado""}",processed,0c619ad3-9b79-4b02-93b6-04b358384945
1168,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1953,NEX 1 Ton Frío 220v,4897.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1953-nex-1-ton-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.947528,""internal_id"":""1953"",""category_original"":""Aire Acondicionado""}",processed,a41a519f-94d7-4126-a933-f05b0a1737f7
1169,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1951,NEX 1.5 Ton solo Frío 220v,8178.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1951-nex-15-ton-solo-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.9484859,""internal_id"":""1951"",""category_original"":""Aire Acondicionado""}",processed,9cb22155-8f55-4763-aa13-e226a4ae652a
1170,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1954,NEX 1.5 Ton  Frío - Calor 220v,8483.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1954-nex-15-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9494615,""internal_id"":""1954"",""category_original"":""Aire Acondicionado""}",processed,620c6705-32ed-4b04-a68d-bd88a0fcb9c0
1171,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1955,NEX 2 Ton solo Frío 220v,10548.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1955-nex-2-ton-solo-frio-220v.html"",""last_error"":null,""scraped_at"":1766775478.950422,""internal_id"":""1955"",""category_original"":""Aire Acondicionado""}",processed,ab35a6b6-7d16-42aa-b720-9634d62d08b0
1172,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1956,NEX 2 Ton  Frío - Calor 220v,11266.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1956-nex-2-ton-frio-calor-220v.html"",""last_error"":null,""scraped_at"":1766775478.9513898,""internal_id"":""1956"",""category_original"":""Aire Acondicionado""}",processed,bdd8373f-0f33-492e-9757-4fd10f06e187
1173,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1968,Inverter X32 1 Ton Solo Frío 220,6481.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1968-inverter-x32-1-ton-solo-frio-220.html"",""last_error"":null,""scraped_at"":1766775478.9523368,""internal_id"":""1968"",""category_original"":""Aire Acondicionado""}",processed,000af3ca-9005-459b-a41a-e577d1e2632c
1174,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1970,Inverter X32 1.5 Ton Solo Frío 220,9480.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1970--inverter-x32-15-ton-solo-frio-220.html"",""last_error"":null,""scraped_at"":1766775478.9533913,""internal_id"":""1970"",""category_original"":""Aire Acondicionado""}",processed,347139b9-911e-45fb-a9a4-a7b6edd39c90
1175,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1971,Inverter X32 1.5 Ton Frío - Calor 220,10051.14,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1971-inverter-x32-15-ton-frio-calor-220.html"",""last_error"":null,""scraped_at"":1766775478.954369,""internal_id"":""1971"",""category_original"":""Aire Acondicionado""}",processed,d3866363-059b-4092-bac2-31df512e599a
1176,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1983,Inverter 17 3 Ton Frío Calor 220,22802.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1983-inverter-17-3-ton-frio-calor-220.html"",""last_error"":null,""scraped_at"":1766775478.9553337,""internal_id"":""1983"",""category_original"":""Aire Acondicionado""}",processed,37972d9f-d286-46ed-b163-7695c5b40dbd
1177,2025-12-26 18:57:59.040867+00,Tienda Mirage,MIR-1994,Inverter V32 1.5 Ton solo Frío 220,8963.0,MXN,"{""url"":""https://www.tiendamirage.mx/aire-acondicionado/1994-inverter-v32-15-ton-solo-frio-220.html"",""last_error"":null,""scraped_at"":1766775478.9563184,""internal_id"":""1994"",""category_original"":""Aire Acondicionado""}",processed,8ad9380d-a3a8-43d0-985c-7a46f469fc0f
