sku,precio,proveedor,sku_original,url,scraped_at,raw_id
EQ-MSI-1T220-004,5399.0,Aires Aurum,SETCVF121E,https://airesaurum.com.mx/productos/,2025-12-26 18:59:18.685003+00,1179
EQ-MSI-1T220-005,6399.0,Aires Aurum,SETCMC121J,https://airesaurum.com.mx/productos/minisplit-inverter-v32-220v-mirage-1-tonelada-12000-btu-r32/,2025-12-26 18:59:18.685003+00,1180
EQ-MSI-1T220-005,6399.0,Aires Aurum,SETCMC121J,https://airesaurum.com.mx/productos/minisplit-inverter-v32-110v-mirage-1-tonelada-12000-btu-r32/,2025-12-26 18:59:18.685003+00,1181
EQ-MSI-1T220-002,10629.0,Aires Aurum,SETCMC121V,https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-110v-mirage-1-tonelada-r32/,2025-12-26 18:59:18.685003+00,1182
EQ-MSI-2T220-004,11499.0,Aires Aurum,SETCWF261E,https://airesaurum.com.mx/productos/minisplit-inverter-x32-220v-mirage-1-tonelada-12000-btu-r32/,2025-12-26 18:59:18.685003+00,1183
EQ-MSI-3T220-001,22999.0,Aires Aurum,SETCWC361C,https://airesaurum.com.mx/productos/minisplit-inverter-110v-mirage-1-tonelada-12b-magnum-22-seer/,2025-12-26 18:59:18.685003+00,1184
EQ-VEN-05T110-001,3399.0,Aires Aurum,MACC0511N,https://airesaurum.com.mx/productos/aire-minisplit-110v-mirage-1-toneladas-12-000-bt-nex/,2025-12-26 18:59:18.685003+00,1185
EQ-MSI-1T220-005,6399.0,Aires Aurum,SETCMC121J,https://airesaurum.com.mx/productos/minisplit-inverter-x32-220v-mirage-2-toneladas-24000-btu-r32/,2025-12-26 18:59:18.685003+00,1186
EQ-MSI-15T220-003,11799.0,Aires Aurum,SETCMF181V,https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-220v-mirage-1-5-toneladas/,2025-12-26 18:59:18.685003+00,1187
EQ-MSI-15T220-006,9499.0,Aires Aurum,SETCWC181E,https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-2-toneladas-24000-btu-magnum-22/,2025-12-26 18:59:18.685003+00,1188
EQ-MSI-2T220-003,17349.0,Aires Aurum,SETCMC261V,https://airesaurum.com.mx/productos/minisplit-inverter-v32-frio-calor-220v-mirage-1-tonelada-r32/,2025-12-26 18:59:18.685003+00,1189
EQ-MSI-15T220-003,11799.0,Aires Aurum,SETCMF181V,https://airesaurum.com.mx/productos/minisplit-inverter-v32-220v-mirage-1-5-toneladas-18btu-r32/,2025-12-26 18:59:18.685003+00,1190
EQ-VEN-15T220-001,7799.0,Aires Aurum,MACC1821N,https://airesaurum.com.mx/productos/aire-minisplit-220v-mirage-2-toneladas-24000-btu-nex/,2025-12-26 18:59:18.685003+00,1191
EQ-MSI-15T220-006,8599.0,Aires Aurum,SETCWF181E,https://airesaurum.com.mx/productos/minisplit-inverter-x32-frio-calor-110v-mirage-1-tonelada/,2025-12-26 18:59:18.685003+00,1192
EQ-MSI-2T220-005,11998.0,Aires Aurum,SETCVC261E,https://airesaurum.com.mx/productos/minisplit-inverter-x-220v-mirage-1-tonelada-12000-btu-r32/,2025-12-26 18:59:18.685003+00,1193
EQ-MSI-3T220-001,22999.0,Aires Aurum,SETCWC361C,https://airesaurum.com.mx/productos/minisplit-inverter-x-220v-mirage-1-5-toneladas-12-btu-r32/,2025-12-26 18:59:18.685003+00,1194
EQ-MSI-3T220-001,22999.0,Aires Aurum,SETCWC361C,https://airesaurum.com.mx/productos/aire-minisplit-220v-frio-calor-mirage-1-tonelada-12-btu-nex/,2025-12-26 18:59:18.685003+00,1195
EQ-MSO-15T220-003,7799.0,Aires Aurum,SETCHC181T,https://airesaurum.com.mx/productos/aire-minisplit-110v-frio-calor-mirage-1-tonelada-12k-btu-nex/,2025-12-26 18:59:18.685003+00,1196
EQ-MSO-1T220-004,4999.0,Aires Aurum,SETCLF121H,https://airesaurum.com.mx/productos/minisplit-220v-mirage-2-toneladas-24000-btu-life-12-r410a/,2025-12-26 18:59:18.685003+00,1197
EQ-MSI-15T220-006,9499.0,Aires Aurum,SETCWC181E,https://airesaurum.com.mx/productos/minisplit-inverter-220v-mirage-3-toneladas-frio-calor-inv17/,2025-12-26 18:59:18.685003+00,1198
